ImgBurn>office>>>>http://filehippo.com/download_imgburn/>http://www.majorgeeks.com/mg/getmirror/imgburn,1.html>
InfraRecorder>office>>>>http://www.majorgeeks.com/mg/getmirror/infrarecorder,1.html>>
LibreOffice>office>>>>http://www.majorgeeks.com/mg/get/libreoffice_productivity_suite,1.html>>
OpenOffice>office>>>>http://www.majorgeeks.com/mg/getmirror/apache_openoffice_org_for_windows,1.html>>
PrimoPDF>office>>>>http://www.majorgeeks.com/mg/getmirror/primopdf,1.html>>
Scribus>office>>>>http://www.majorgeeks.com/mg/getmirror/scribus,1.html>http://sourceforge.net/projects/filezilla/files/latest/download>
Thunderbird>office>>>>http://filehippo.com/download_thunderbird/>http://www.majorgeeks.com/mg/get/mozilla_thunderbird_17_05_final,1.html>
AppRemover>removal_tools>>>>http://www.majorgeeks.com/mg/getmirror/appremover,1.html>>
AVG_Remover>removal_tools>>>>http://www.majorgeeks.com/mg/get/avg_remover,1.html>>
AVG_Remover_64>removal_tools>>>>http://www.majorgeeks.com/mg/get/avg_remover,2.html>>
McAfee_Removal_Tool>removal_tools>>>>http://www.majorgeeks.com/mg/getmirror/mcafee_consumer_product_removal_tool,1.html>>
Norton_Power_Eraser>removal_tools>>>>http://www.majorgeeks.com/mg/getmirror/norton_power_eraser,1.html>>
Norton_Removal_Tool>removal_tools>>>>http://www.majorgeeks.com/mg/get/norton_removal_tool,1.html>>
Panda_Quick_Remover>removal_tools>>>>http://www.majorgeeks.com/mg/getmirror/panda_quick_remover,1.html>>
Your_Uninstaller!>removal_tools>>>>http://www.majorgeeks.com/mg/get/your_uninstaller,1.html>>
ZoneAlarm_Uninstall>removal_tools>>>>http://www.majorgeeks.com/mg/get/zone_alarm_uninstall,1.html>>
F-Secure_BlackLight>rootkit>>>>http://www.majorgeeks.com/mg/getmirror/f_secure_blacklight,1.html>>
Gromozon_Rootkit_Removal_Tool_32>rootkit>>>>http://www.majorgeeks.com/mg/getmirror/gromozon_rootkit_removal_tool,1.html>>
Kaspersky_TDSSKiller>rootkit>>>>http://www.majorgeeks.com/mg/get/kaspersky_tdsskiller,1.html>>
Malwarebytes_Anti-Rootkit>rootkit>>>>http://www.majorgeeks.com/files/details/malwarebytes_anti_rootkit.html>>
Microsoft_Sysinternals_Rootkit_Revealer>rootkit>>>>http://filehippo.com/download_rootkit_revealer/>http://www.majorgeeks.com/mg/getmirror/microsoft_sysinternals_rootkit_revealer,1.html>
Panda_Anti-Rootkit>rootkit>>>>http://www.majorgeeks.com/mg/getmirror/panda_anti_rootkit,1.html>>
RootRepeal_Rootkit_Detector>rootkit>>>>http://www.majorgeeks.com/mg/getmirror/rootrepeal_rootkit_detector,1.html>>
Trend_Micro_RootkitBuster>rootkit>>>>http://www.majorgeeks.com/mg/getmirror/trend_micro_rootkitbuster,1.html>>
Ad-Aware_Free_Antivirus>security>>>>http://www.majorgeeks.com/mg/get/ad_aware_free_antivirus,1.html>>
AVG_AntiVirus_Free_Edition>security>>>>http://filehippo.com/download_avg_antivirus_32/>http://www.majorgeeks.com/mg/get/avg_antivirus_free_edition,1.html>
ClamWin_Free_Antivirus>security>>>>http://www.majorgeeks.com/mg/getmirror/clamwin_free_antivirus,1.html>>
Comodo_AntiVirus>security>>>>http://www.majorgeeks.com/mg/get/comodo_antivirus,1.html>http://www.majorgeeks.com/mg/get/comodo_antivirus,2.html>
Comodo_Firewall>security>>>>http://www.majorgeeks.com/mg/get/comodo_personal_firewall,1.html>http://www.majorgeeks.com/mg/get/comodo_personal_firewall,2.html>
Comodo_Internet_Security>security>>>>http://filehippo.com/download_comodo/>http://www.majorgeeks.com/mg/get/comodo_internet_security,1.html>http://www.majorgeeks.com/mg/get/comodo_internet_security,2.html
KeePass>security>>>>http://www.filehippo.com/download_keepass/>http://www.majorgeeks.com/files/details/keepass_password_safe.html>http://sourceforge.net/projects/keepass/files/latest/download
Norton_AntiVirus>security>>>>http://www.majorgeeks.com/mg/get/norton_antivirus,1.html>>
TrueCrypt>security>>>>http://www.majorgeeks.com/mg/getmirror/truecrypt,1.html>>
ZoneAlarm_Free>security>>>>http://filehippo.com/download_zonealarm_free_firewall/>http://www.majorgeeks.com/mg/get/zonealarm_free,1.html>
ZoneAlarm_Free_Antivirus_+_Firewall>security>>>>http://www.majorgeeks.com/mg/get/zonealarm_free_antivirus_firewall,1.html>>
3dMark_Vantage>system_analysis>>>>http://filehippo.com/download_3dmark_vantage/>>
Aida>system_analysis>>>>http://www.majorgeeks.com/mg/getmirror/aida32_personal_system_information,1.html>>
ASTRA>system_analysis>>>>http://www.majorgeeks.com/mg/get/astra_advanced_sysinfo_tool,1.html>>
Belarc>system_analysis>>>>http://www.majorgeeks.com/mg/get/belarc_advisor,1.html>>
CPU-Z>system_analysis>>>>http://www.majorgeeks.com/mg/getmirror/cpu_z,1.html>>
GPU-Z>system_analysis>>>>http://www.majorgeeks.com/mg/getmirror/gpu_z,1.html>http://filehippo.com/download_gpuz/>
HWMonitor>system_analysis>>>>http://www.majorgeeks.com/mg/get/hwmonitor,1.html>>
Speccy>system_analysis>>>>http://filehippo.com/download_speccy/>http://www.majorgeeks.com/mg/getmirror/speccy,1.html>
64_7-Zip>utilities>>>>http://www.majorgeeks.com/mg/get/7_zip,3.html>http://filehippo.com/download_7-zip_64/>
64_Notepad2>utilities>>>>http://www.majorgeeks.com/mg/get/notepad2,2.html>>
64_OpenVPN>utilities>>>>http://www.majorgeeks.com/mg/get/openvpn,2.html>>
64_WinRar>utilities>>>>http://filehippo.com/download_winrar_64/>>
7-Zip>utilities>>>>http://filehippo.com/download_7zip_32/>http://www.majorgeeks.com/mg/get/7_zip,2.html>http://sourceforge.net/projects/sevenzip/files/latest/download
AutoHotKey>utilities>>>>http://www.majorgeeks.com/files/details/autohotkey.html>>
Autoruns>utilities>>>>http://filehippo.com/download_autoruns/>>
CCleaner>utilities>>>>http://filehippo.com/download_ccleaner/>>
Comodo_Dragon>utilities>>>>http://filehippo.com/download_comodo_dragon/>http://www.majorgeeks.com/mg/get/comodo_dragon,1.html>
Comodo_Ice_Dragon>utilities>>>>http://filehippo.com/download_comodo_icedragon/>http://www.majorgeeks.com/mg/get/comodo_icedragon,1.html>
Comodo_Programs_Manager>utilities>>>>http://www.majorgeeks.com/mg/getmirror/comodo_programs_manager,1.html>>
Defraggler>utilities>>>>http://filehippo.com/download_defraggler/>>
Filezilla>utilities>>>>http://sourceforge.net/projects/filezilla/files/latest/download>http://filehippo.com/download_filezilla/>http://www.majorgeeks.com/mg/getmirror/filezilla,2.html
Firefox>utilities>>>>http://filehippo.com/download_firefox/>http://www.majorgeeks.com/mg/get/mozilla_firefox_beta,1.html>
Microsoft_Network_Diagnostic_Tool>utilities>>>>http://www.majorgeeks.com/mg/getmirror/microsoft_network_diagnostic_tool,1.html>>
NeoRouter_Free>utilities>>>>http://www.majorgeeks.com/mg/getmirror/neorouter_free,1.html>>
Notepad++>utilities>>>>http://filehippo.com/download_notepad/>http://www.majorgeeks.com/mg/get/notepad,1.html>
Notepad2>utilities>>>>http://www.majorgeeks.com/mg/getmirror/notepad2,1.html>>
OpenVPN>utilities>>>>http://www.majorgeeks.com/mg/get/openvpn,1.html>>
PuTTY>utilities>>>>http://www.majorgeeks.com/mg/getmirror/putty,1.html>>
Recuva>utilities>>>>http://filehippo.com/download_recuva/>>
Revo_Uninstaller>utilities>>>>http://www.majorgeeks.com/mg/getmirror/revo_uninstaller,1.html>>
Startup_Control_Panel>utilities>>>>http://www.majorgeeks.com/mg/getmirror/startup_control_panel_standalone_version,1.html>>
